player_name,CLOSEST_DEFENDER,TOTAL_SHOT_COUNT
kyrie irving,"Hawes, Spencer",0
lamarcus aldridge,"Barnes, Matt",0
lance stephenson,"Fournier, Evan",0
lavoy allen,"Anderson, Alan",0
leandro barbosa,"Neal, Gary",0
lebron james,"Mahinmi, Ian",0
lou williams,"Bledsoe, Eric",0
luc mbah a moute,"Crawford, Jamal",0
luis scola,"Korver, Kyle",0
luke babbitt,"Jones, Perry",0
luol deng,"Sloan, Donald",0
manu ginobili,"Bennett, Anthony",0
marc gasol,"Ellis, Monta",0
marcin gortat,"Zeller, Cody",0
marco belinelli,"Johnson, Amir",0
marcus morris,"Monroe, Greg",0
marcus smart,"Watson, CJ",0
marcus thornton,"Zeller, Tyler",0
mario chalmers,"Dieng, Gorgui",0
markieff morris,"McRoberts, Josh",0
marreese speights,"Wright, Brandan",0
marvin williams,"Carter-Williams, Michael",0
mason plumlee,"Haywood, Brendan",0
matt barnes,"Anderson, Kyle",0
matt bonner,"Shumpert, Iman",0
matthew dellavedova,"Knight, Brandon",0
michael carter-williams,"Aldridge, LaMarcus",0
michael kidd-gilchrist,"Gobert, Rudy",0
mike conley,"McCallum, Ray",0
mike miller,"Henson, John",0
mike scott,"Griffin, Blake",0
mirza teletovic,"Landry, Carl",0
mnta ellis,"Acy, Quincy",0
mo williams,"Price, Ronnie",0
nate robinson,"Payton, Elfrid",0
nene hilario,"Kaman, Chris",0
nerles noel,"Davis, Anthony",0
nick collison,"Rivers, Austin",0
nick young,"Aldridge, LaMarcus",0
nicolas batum,"Gallinari, Danilo",0
nik stauskas,"Whiteside, Hassan",0
nikola mirotic,"Sims, Henry",0
nikola vucevic,"Dudley, Jared",0
norris cole,"Harden, James",0
oj mayo,"Haywood, Brendan",0
omer asik,"Matthews, Wesley",0
omri casspi,"Hummel, Robbie",0
otto porter,"Zeller, Cody",0
pablo prigioni,"Hinrich, Kirk",0
patrick beverley,"Jones, James",0
patrick patterson,"Lopez, Brook",0
pau gasol,"Varejao, Anderson",0
paul millsap,"Thornton, Marcus",0
paul pierce,"Afflalo, Arron",0
pero antic,"Smith, Greg",0
pj tucker,"West, David",0
quincy acy,"Humphries, Kris",0
ramon sessions,"Udrih, Beno",0
rasual butler,"Bazemore, Kent",0
ray mccallum,"Ennis, James",0
reggie jackson,"Afflalo, Arron",0
richard jefferson,"Brown, Markel",0
robbie hummel,"Seraphin, Kevin",0
robert covington,"Rondo, Rajon",0
robert sacre,"Payton, Elfrid",0
rodney stuckey,"Ajinca, Alexis",0
ronnie price,"Aminu, Al-Farouq",0
roy hibbert,"Temple, Garrett",0
rudy gay,"Davis, Glen",0
rudy gobert,"Smith, Jason",0
russell westbrook,"Farmar, Jordan",0
ryan anderson,"Adams, Steven",0
serge ibaka,"Chandler, Wilson",0
shabazz muhammad,"Seraphin, Kevin",0
shabazz napier,"Thompson, Jason",0
shane larkin,"Collison, Nick",0
shaun livingston,"Dellavedova, Matthew",0
shawn marion,"Plumlee, Miles",0
shawne williams,"Henson, John",0
solomon hill,"Wright, Brandan",0
spencer hawes,"Bennett, Anthony",0
stephen curry,"Matthews, Wesley",0
steve adams,"Chandler, Wilson",0
steve blake,"Mayo, O.J.",0
taj gibson,"Harden, James",0
terrence ross,"Kanter, Enes",0
thabo sefolosha,"Gobert, Rudy",0
thaddeus young,"Stephenson, Lance",0
tim duncan,"Stephenson, Lance",0
time hardaway jr,"McRoberts, Josh",0
timofey mozgov,"Whittington, Shayne",0
tobias harris,"Sampson, JaKarr",0
tony allen,"Morris, Markieff",0
tony parker,"Green, Gerald",0
tony snell,"Len, Alex",0
travis wear,"Martin, Cartier",0
trevor ariza,"Johnson, James",0
trevor booker,"Green, JaMychal",0
trey burke,"Pachulia, Zaza",0
tristan thompson,"Asik, Omer",0
ty lawson,"Henson, John",0
tyler hansbrough,"Green, Erick",0
tyler zeller,"Anthony, Carmelo",0
tyreke evans,"Parker, Tony",0
tyson chandler,"Gortat, Marcin",0
udonis haslem,"Redick, JJ",0
victor oladipo,"Porter, Otto",0
vince carter,"Beverley, Patrick",0
wayne ellington,"Crowder, Jae",0
wesley johnson,"Lawson, Ty",0
wesley matthews,"Jones, Terrence",0
wilson chandler,"Ilyasova, Ersan",0
zach lavine,"Adams, Steven",0
zach randolph,"Zeller, Tyler",0
zaza pachulia,"Paul, Chris",0
